"building_class","fov","architecture","iteration","train_n","validation_n","test_n","kappa","precision","recall","computation_time(seconds)","test_accuracy","average_accuracy","f_score"
Industry,F90,mobilenet_1.0_224,0,63976,21232,21142,0.26906697759071857,0.4525790349417637,0.25057577153385535,1881,89.19212818145752,68.54921252943522,0.322561517936555
Industry,F90,mobilenet_1.0_224,1,63901,21307,21142,0.29213165734409985,0.2612312811980033,0.4226110363391655,1383,93.77069473266602,61.98583687835553,0.322879177377892
Industry,F90,mobilenet_1.0_224,2,63726,21482,21142,0.31233996229248306,0.3386023294509151,0.3624220837043633,1412,92.85308718681335,65.13473031407034,0.3501075268817204
Industry,F90,mobilenet_1.0_224,3,64021,21187,21142,0.31697951613684877,0.3610648918469218,0.35170178282009723,1289,92.58348345756531,66.0472265381836,0.3563218390804597
Industry,F30_60_90,inception_v3,0,191928,63696,63426,0.18905825380870422,0.6411536328341653,0.1649543378995434,5684,79.50682640075684,72.27500026424254,0.2623992736352287
Industry,F30_60_90,inception_v3,1,191703,63921,63426,0.18116414223590843,0.6769273433166944,0.15832144246984045,4944,77.70314812660217,72.99966037880696,0.256623212783852
Industry,F30_60_90,inception_v3,2,191178,64446,63426,0.1237821961753537,0.7742651136993899,0.1214124195512263,4867,66.86217188835144,71.82592703234496,0.20990902939628597
Industry,F30_60_90,inception_v3,3,192063,63561,63426,0.2046987062366132,0.6195230171935663,0.17676847602468745,4871,81.43348097801208,72.28006259488393,0.2750554050726422
Industry,F30_60_90,mobilenet_1.0_224,0,191928,63696,63426,0.03090913324936783,0.9345535219079312,0.0717372331140771,2919,30.875352025032043,60.27916389212007,0.13324634758713402
Industry,F30_60_90,mobilenet_1.0_224,1,191703,63921,63426,0.2986216005201388,0.3483083749306711,0.3311363037173741,3052,92.29495525360107,65.29489049511263,0.3395053385592648
Industry,F30_60_90,mobilenet_1.0_224,2,191178,64446,63426,0.276204898249863,0.2789794786466999,0.3549752999294284,3189,93.01863312721252,62.4210568477479,0.31242236024844716
Industry,F30_60_90,mobilenet_1.0_224,3,192063,63561,63426,0.07693361968062701,0.8458125346644482,0.09527974758676705,3086,53.462302684783936,68.0838397054725,0.17126653002779574
Office,F30,inception_v3,0,63976,21232,21142,0.06929294273003647,0.0743314878077512,0.7648484848484849,2104,61.91467046737671,68.90393922987317,0.13549495383293964
Office,F30,inception_v3,1,63901,21307,21142,0.09623416560510012,0.0899734395750332,0.656969696969697,2359,72.73200154304504,69.35731981427705,0.15827128047890202
Office,F30,inception_v3,2,63726,21482,21142,0.08457097333936786,0.08299942759015455,0.703030303030303,2489,68.53183507919312,69.38147036143786,0.14847049788813516
Office,F30,inception_v3,3,64021,21187,21142,0.0704483703880384,0.07490900551837501,0.7733333333333333,677,61.84845566749573,69.27650079572115,0.13658745450652965
Office,F30,mobilenet_1.0_224,0,63976,21232,21142,0.03219490603752167,0.05484731692855025,0.896969696969697,500,39.281997084617615,63.46589883677052,0.1033736117901795
Office,F30,mobilenet_1.0_224,1,63901,21307,21142,0.07739445721159155,0.15144230769230768,0.07636363636363637,973,94.7261393070221,52.949451198503716,0.1015310233682514
Office,F30,mobilenet_1.0_224,2,63726,21482,21142,0.06522613123260004,0.07204927950720492,0.793939393939394,1037,59.29429531097412,68.93603058194287,0.13210972166196044
Office,F30,mobilenet_1.0_224,3,64021,21187,21142,0.14163209849688366,0.15703971119133575,0.2109090909090909,511,92.5030767917633,58.24688684353005,0.1800310398344542
Office,F60,inception_v3,0,63976,21232,21142,0.09218969646897014,0.08688293370944992,0.7466666666666667,2002,68.38993430137634,71.40086298830208,0.15565382185723312
Office,F60,inception_v3,1,63901,21307,21142,0.1117541150652113,0.0990574755128442,0.6496969696969697,2346,75.5746841430664,70.4875063575659,0.17190506735086594
Office,F60,inception_v3,2,63726,21482,21142,0.0731384541848447,0.07622127266427994,0.8,2486,61.38492226600647,70.31451493822907,0.13918177983973007
Office,F60,inception_v3,3,64021,21187,21142,0.09625173311556152,0.08950855030041596,0.7042424242424242,1652,70.89206576347351,70.66765106396942,0.15882996172772007
Office,F60,mobilenet_1.0_224,0,63976,21232,21142,0.15412034974504893,0.15538132573057734,0.2642424242424242,1206,91.52398109436035,60.29584420272022,0.1956912028725314
Office,F60,mobilenet_1.0_224,1,63901,21307,21142,0.10809217904010397,0.09807572936064556,0.5745454545454546,1330,77.72207260131836,67.99980312053945,0.16755037115588545
Office,F60,mobilenet_1.0_224,2,63726,21482,21142,0.03802129881521406,0.05777499804550074,0.8957575757575758,1536,42.588213086128235,65.12798805597939,0.1085487661574618
Office,F60,mobilenet_1.0_224,3,64021,21187,21142,0.16160570797960955,0.15595162316995545,0.296969696969697,1230,90.98476767539978,61.58520778986399,0.2045075125208681
Office,F90,inception_v3,0,63976,21232,21142,0.10419959071370549,0.09494949494949495,0.6266666666666667,1994,75.23413300514221,69.2055585634362,0.1649122807017544
Office,F90,inception_v3,1,63901,21307,21142,0.10412489637177298,0.09488917384136289,0.6278787878787879,2601,75.17737150192261,69.23417171170286,0.1648631444939529
Office,F90,inception_v3,2,63726,21482,21142,0.10534107296022162,0.09682911257714408,0.5515151515151515,2367,78.17614078521729,67.13130219356532,0.16473569876900798
Office,F90,inception_v3,3,64021,21187,21142,0.11411171216681729,0.10312805474095797,0.5115151515151515,1671,80.73502779006958,66.54391232301357,0.17164937970307098
Office,F90,mobilenet_1.0_224,0,63976,21232,21142,0.11790940252847328,0.11827956989247312,0.28,1273,89.04550075531006,59.76216961165526,0.16630669546436289
Office,F90,mobilenet_1.0_224,1,63901,21307,21142,0.08633642597159104,0.08427827152926755,0.6666666666666666,1339,70.43325901031494,68.62643763022756,0.14963950482927493
Office,F90,mobilenet_1.0_224,2,63726,21482,21142,0.12037364745625345,0.1157130657557643,0.3284848484848485,1194,87.58395314216614,61.3275253892471,0.17113988001263025
Office,F90,mobilenet_1.0_224,3,64021,21187,21142,0.09060381797644317,0.08744434550311665,0.5951515151515151,1240,74.18408989906311,67.14744630933045,0.15248447204968946
Office,F30_60_90,inception_v3,0,191928,63696,63426,0.0934227479473508,0.08803995263347578,0.6909090909090909,4501,70.86683511734009,70.01493002575839,0.15617864645173074
Office,F30_60_90,inception_v3,1,191703,63921,63426,0.09329323629934973,0.08793006492510608,0.694949494949495,4841,70.68079113960266,70.11194784881846,0.15610818660373935
Office,F30_60_90,inception_v3,2,191178,64446,63426,0.12869829484815226,0.11236251649802023,0.515959595959596,4905,82.20603466033936,67.52247980618311,0.18453757225433526
Office,F30_60_90,inception_v3,3,192063,63561,63426,0.10800962714963774,0.0974180670916232,0.6113131313131314,3231,76.38192772865295,69.06625540734908,0.16805509274686214
Office,F30_60_90,mobilenet_1.0_224,0,191928,63696,63426,0.044144207610667445,0.060954754934639574,0.8496969696969697,2926,48.33348989486694,65.90776197273219,0.11374945910861099
Office,F30_60_90,mobilenet_1.0_224,1,191703,63921,63426,0.13550394516297512,0.12714198286413708,0.33575757575757575,2938,88.41326832771301,62.107889944381554,0.18444123848629454
Office,F30_60_90,mobilenet_1.0_224,2,191178,64446,63426,0.1227455687526064,0.1536697247706422,0.16242424242424242,2956,93.2409405708313,56.304999097635815,0.1579257513258692
Office,F30_60_90,mobilenet_1.0_224,3,192063,63561,63426,0.12026349919459763,0.14688270517787955,0.1684848484848485,2671,92.93665289878845,56.43740053485586,0.1569439217162213
Shop,F30,inception_v3,0,63976,21232,21142,0.3471547835846632,0.7292768959435626,0.27375041377027476,2377,88.17046880722046,80.98103791992904,0.3980746089049338
Shop,F30,inception_v3,1,63901,21307,21142,0.31172673179760846,0.7716049382716049,0.24157923799006073,2559,85.78185439109802,81.71549281521959,0.3679562657695543
Shop,F30,inception_v3,2,63726,21482,21142,0.3094313300087289,0.7751322751322751,0.23957481602616518,2703,85.59738993644714,81.78440264105998,0.36602123672704556
Shop,F30,inception_v3,3,64021,21187,21142,0.27515046730760684,0.7945326278659612,0.2134059687351966,2082,83.189857006073,81.42745106542921,0.3364451082897685
Shop,F30,mobilenet_1.0_224,0,63976,21232,21142,0.08342150605897729,0.9232804232804233,0.09517316607581129,820,52.506858110427856,71.28897118401316,0.17255871446229915
Shop,F30,mobilenet_1.0_224,1,63901,21307,21142,0.04203518495917005,0.9611992945326279,0.0740187423604509,1085,35.29467284679413,63.98359527441228,0.13745271122320304
Shop,F30,mobilenet_1.0_224,2,63726,21482,21142,0.2279369562720775,0.7865961199294532,0.18170706864941943,1137,79.85526323318481,79.29132139031512,0.29521760714876716
Shop,F30,mobilenet_1.0_224,3,64021,21187,21142,0.11006285503747638,0.900352733686067,0.10945540308747856,518,60.17405986785889,74.25844036283195,0.19518256547505256
Shop,F60,inception_v3,0,63976,21232,21142,0.35436053575768023,0.7319223985890653,0.27946127946127947,2258,88.4400725364685,81.24825907379554,0.4044834307992203
Shop,F60,inception_v3,1,63901,21307,21142,0.27098104483124164,0.7962962962962963,0.2103914259086673,2453,82.87768363952637,81.34570245975684,0.3328418724659049
Shop,F60,inception_v3,2,63726,21482,21142,0.37241553094821284,0.7213403880070547,0.29637681159420287,2615,89.31983709335327,81.21396062386333,0.42013353877760656
Shop,F60,inception_v3,3,64021,21187,21142,0.3081306433569715,0.7751322751322751,0.23859934853420195,2009,85.526442527771,81.74691763506237,0.36488169364881695
Shop,F60,mobilenet_1.0_224,0,63976,21232,21142,0.06601052795381594,0.9603174603174603,0.0860597439544808,1282,45.08561193943024,69.11493339172267,0.1579634464751958
